Brand,Symptom,Fault,Recommendation,Generation
Toyota 2001,Slow engine crank,"Weak battery or corroded terminals,Test battery voltage with multimeter",clean terminals with wire brush; replace battery if below 12.4V.,1
Toyota 2001,Steering feels loose,"Worn tie rods or steering rack play,Inspect tie rods for looseness",replace if worn; adjust or replace steering rack if necessary.,1
Toyota 2001,Vibration while driving,"Unbalanced tires or worn driveshaft,Balance tires at a shop",inspect driveshaft for play and replace if needed.,1
Toyota 2001,AC not cooling,"Low refrigerant or faulty compressor,Check refrigerant level with gauge",recharge system; test compressor and replace if not engaging.,1
Toyota 2001,Car won't start,"Faulty starter or ignition switch,Test starter with jumper cables",replace if faulty; check ignition switch and replace if no response.,1
Toyota 2001,Dashboard lights flickering,"Loose alternator belt or bad ground,Tighten alternator belt",inspect and secure ground connections under dashboard.,1
Toyota 2001,Rough idle,"Vacuum leak or dirty throttle body,Inspect vacuum hoses for leaks",clean throttle body with carb cleaner.,1
Toyota 2001,Engine overheating,"Faulty thermostat or clogged radiator,Test thermostat in hot water",replace if stuck; flush radiator and refill coolant.,1
Toyota 2001,Strange engine noise,"Worn timing belt or loose pulley,Inspect timing belt for wear",replace if frayed; tighten or replace loose pulley.,1
Toyota 2001,Transmission slipping,"Low transmission fluid or worn bands,Check fluid level and condition",refill with ATF; replace bands if slipping persists.,1
Toyota 2001,Check engine light on,"Faulty oxygen sensor or loose gas cap,Use OBD-II scanner to read codes",replace oxygen sensor or tighten gas cap.,1
Toyota 2001,Brake pedal feels soft,"Air in brake lines or leaking master cylinder,Bleed brake system",inspect master cylinder for leaks and replace if needed.,1
Toyota 2001,Squealing brakes,"Worn brake pads or glazed rotors,Replace brake pads",resurface or replace rotors if glazed.,1
Toyota 2001,Car pulls to one side,"Misaligned wheels or uneven brake pressure,Perform wheel alignment",check brake calipers and replace if sticking.,1
Toyota 2001,Engine stalling,"Dirty idle air control valve or fuel pump issue,Clean IAC valve",test fuel pump pressure and replace if weak.,1
Toyota 2001,Poor fuel economy,"Clogged air filter or faulty MAF sensor,Replace air filter",test and clean or replace MAF sensor.,1
Toyota 2001,Smoke from exhaust,"Blown head gasket or worn valve seals,Perform compression test",replace head gasket or valve seals if needed.,1
Toyota 2001,Engine misfiring,"Faulty spark plugs or ignition coil,Replace spark plugs",test ignition coil with multimeter and replace if faulty.,1
Toyota 2001,Hard to shift gears,"Worn clutch or low transmission fluid,Inspect clutch for wear and replace",check and refill transmission fluid.,1
Toyota 2001,Clunking noise when turning,"Worn CV joint or loose steering components,Replace CV joint",inspect and tighten steering linkage.,1
Toyota 2001,Suspension feels bouncy,"Worn shock absorbers,Test shocks for bounce",replace all four if worn.,1
Toyota 2001,Car shakes at high speeds,"Unbalanced wheels or bent rim,Balance wheels",inspect rims for damage and replace if bent.,1
Toyota 2001,Battery keeps dying,"Faulty alternator or parasitic drain,Test alternator output",check for parasitic drain with multimeter and fix wiring.,1
Toyota 2001,Headlights dim,"Weak alternator or corroded wiring,Test alternator voltage",clean or replace headlight wiring connections.,1
Toyota 2001,Radio not working,"Blown fuse or faulty antenna,Check radio fuse and replace",inspect antenna connection and repair.,1
Toyota 2001,Power windows not working,"Faulty window motor or broken regulator,Test window motor with multimeter",replace motor or regulator if needed.,1
Toyota 2001,Heater not working,"Clogged heater core or faulty thermostat,Flush heater core",replace thermostat if stuck closed.,1
